품목 그룹코드,품목 그룹명,품목 코드,품목명,품종코드,품종명,도매출하단위,도매출하단위 크기,소매출하단위,소매출하단위 크기,친환경농산물출하단위('20.4~),친환경농산물출하단위크기('20.4~),도매 등급,소매 등급,친환경 등급('20.4~)
100,식량작물,111,쌀,01,20kg,kg,20,kg,20,,,04,"04,05",
100,식량작물,111,쌀,02,백미,,,,,kg,4,,,"07,08"
100,식량작물,111,쌀,03,현미,,,,,kg,2,,,"07,08"
100,식량작물,111,쌀,05,20kg(햅쌀),kg,20,kg,20,,,04,"04,05",
100,식량작물,111,쌀,06,오대벼,,,kg,10,,,,,
100,식량작물,111,쌀,07,고시히카리,,,kg,10,,,,,
100,식량작물,111,쌀,08,추청,,,kg,10,,,,,
100,식량작물,111,쌀,09,삼광,,,kg,10,,,,,
100,식량작물,111,쌀,10,10kg,,,kg,10,,,04,,
100,식량작물,111,쌀,11,10kg(햅쌀),,,kg,10,,,04,,
100,식량작물,112,찹쌀,01,일반계,kg,40,kg,1,kg,1,04,"04,05","07,08"
100,식량작물,113,혼합곡,00,혼합곡,,,,,g,800,,,"07,08"
100,식량작물,114,기장,01,기장,,,,,g,400,,,"07,08"
100,식량작물,141,콩,01,흰 콩(국산),kg,40,g,500,g,500,"04,05","04,05","07,08"
100,식량작물,141,콩,02,콩나물콩,kg,35,,,,,,"04,05",
100,식량작물,141,콩,03,흰 콩(수입),kg,35,,,,,,05,
100,식량작물,142,팥,00,붉은 팥(국산),kg,40,g,500,,,"04,05","04,05",
100,식량작물,142,팥,01,붉은 팥(수입),kg,40,,,,,,05,
100,식량작물,143,녹두,00,국산,kg,40,g,500,,,"04,05","04,05",
100,식량작물,143,녹두,01,수입,kg,40,,,,,,05,
100,식량작물,144,메밀,01,메밀(수입),kg,1,,,,,,05,
100,식량작물,151,고구마,00,밤,kg,10,kg,1,g,800,"04,05","04,05","07,08"
100,식량작물,152,감자,00,감자,kg,20,kg,1,,,"04,05","04,05",
100,식량작물,152,감자,01,수미(노지),kg,20,g,100,kg,1,"04,05","04,05","07,08"
100,식량작물,152,감자,02,대지마,kg,20,g,100,,,"04,05","04,05",
100,식량작물,152,감자,03,노지,kg,20,g,100,,,"04,05","04,05",
100,식량작물,152,감자,04,수미(시설),kg,20,g,100,,,"04,05","04,05",
100,식량작물,152,감자,05,기타(시설),kg,20,g,100,,,"04,05","04,05",
